,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance, Total ERC20 tnxs, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent addr.1, ERC20 uniq rec contract addr, ERC20 avg time between sent tnx, ERC20 avg time between rec tnx, ERC20 avg time between rec 2 tnx, ERC20 avg time between contract tnx, ERC20 min val rec, ERC20 max val rec, ERC20 avg val rec, ERC20 min val sent, ERC20 max val sent, ERC20 avg val sent, ERC20 min val sent contract, ERC20 max val sent contract, ERC20 avg val sent contract, ERC20 uniq sent token name, ERC20 uniq rec token name
FLAG,1.0,-0.0038524312116943013,-0.11518594493804184,-0.21240806282316874,-0.06314744737965634,-0.06234708330584021,-0.011413691770228095,-0.02115115534609552,-0.03566737905538594,-0.002193246079392561,-0.0151370646224271,-0.007621322665671763,0.011747412808066007,-0.017635588490656467,-0.042854118216493334,-0.0059328702068724955,-0.006570182015046396,-0.007306308143270926,-0.07997955487917377,-0.012291550412334649,-0.01385716531111106,-0.006570190359901678,-0.00265001598256542,-0.02569689008544698,-0.004474950731202961,0.024762246540287653,0.01351392675641073,-0.020554062220193035,-0.01753915309910493,-0.0030471330561018346,-0.018526673480888087,,,,,0.011163151587451008,-0.004313011269473587,0.007881428267691263,0.025364154087448073,0.025038127044248428,0.025043510161856648,,,,0.00924942298991138,-0.018047086565521748
Avg min between sent tnx,-0.0038524312116943013,1.0,0.061502870015602194,0.2093853247233993,-0.03498479664340911,-0.03862191600692104,-0.006626134052981896,-0.01733648306333813,-0.019345177409804775,-0.020183368631948282,-0.00785352754115231,-0.005272806512695728,-0.0009662350126454389,-0.006616121588834208,-0.00043566677634771786,-0.0004083165429397923,0.0008426577567171689,0.0005296466201227811,-0.04718148698765315,-0.006945934791401497,-0.007854441548306836,0.0008426556412533542,-0.0015332441792725389,-0.012307436476715538,-0.0025420416181358443,-0.002104957153959101,-0.0044094294063407435,-0.009476886525368095,-0.0011328843204831166,-0.012754115368835788,0.045614516466033324,,,,,0.004673006415046206,-0.002455932354538955,-0.0031490625667730597,-0.0016865676094982842,-0.002019971720655375,-0.0019650968305218856,,,,0.0005289937998551246,0.047201935081774206
Avg min between received tnx,-0.11518594493804184,0.061502870015602194,1.0,0.2955304636310443,-0.04330654775132359,-0.056740870084124595,-0.008943421265110909,-0.031231940322277583,-0.02753485495686614,-0.04849585890686655,-0.012325373867526426,-0.009901652695152216,-0.008909534285137025,-0.01301807434199794,-0.042912501914180834,-0.004175102528950776,-0.0034963976486636038,-0.004242810383135832,-0.06469799742821937,-0.010007053045214577,-0.011358546409103986,-0.003496404862756601,-0.002272954184115849,-0.02057783131155236,-0.0036561851970688193,-0.0038760530854583734,-0.0061597499214874896,-0.014775744654896643,-0.016036542136512375,-0.01469776667327143,-0.014931587658473404,,,,,-0.008319062976157875,-0.003544423692752828,-0.00560636797729633,-0.0037580083302146345,-0.0037803473134045153,-0.0037269810999241617,,,,-0.019895722413089185,-0.014965674604443181
Time Diff between first and last (Mins),-0.21240806282316874,0.2093853247233993,0.2955304636310443,1.0,0.14938823138222965,0.1424869862225878,-0.005307309508645258,0.03311096073848787,0.06743674570152189,-0.09476978830329562,-0.004398114405813745,-0.016089835202215862,-0.014207408206774698,0.01196682841550077,-0.0563735689054694,0.0010480731418746347,0.03602243818532386,0.02908907405100857,0.18233678121339972,0.011730842301631988,0.01332907044339217,0.03602239816607665,0.0026854139850587388,0.0759223423649967,0.04678831492217211,-0.00501372552477616,-0.008389163761518144,0.040686219673405695,0.08070857254941233,0.01996141968604194,0.3191759534068185,,,,,-0.010543354618645188,0.04651212324222141,0.04901997637848614,-0.006851829616385321,-0.006268484320347566,-0.006802007250095871,,,,0.26393911039347345,0.3242876174437949
Sent tnx,-0.06314744737965634,-0.03498479664340911,-0.04330654775132359,0.14938823138222965,1.0,0.1967466341771965,0.3206018075392928,0.1290778413246159,0.6696808887866911,0.022714511988970135,0.10167385056003835,0.1403987603622012,-0.005097396899442456,0.22498084455616063,0.025313112469416067,0.029371494073140093,0.01306858170254805,0.020655296931459986,0.7310407524734407,0.24430652545544557,0.15553804781849814,0.013068646174347361,-0.12743033754454525,0.38131140642848116,0.006683018263468005,-0.00031514982579089755,-0.002896745939917856,0.3560647393946847,0.30046107971619335,-0.008378733053032066,0.21966475419666362,,,,,-0.003867736365013519,0.0042911428207672315,0.008843244212986375,-0.0015572279730832073,-0.0010188347024212376,-0.001415278293253602,,,,0.07972799797539638,0.22061354255030652
Received Tnx,-0.06234708330584021,-0.03862191600692104,-0.056740870084124595,0.1424869862225878,0.1967466341771965,1.0,-0.004224178104514731,0.6484776467878964,0.16305985092823408,-0.02500881292647011,0.2246375619914824,-0.002277523504316337,0.09334740066897634,0.09726718722708337,0.1234141470482238,0.020479081759746477,0.008033245477855638,0.013541597789145203,0.8057455818503936,0.13196905206724618,0.23524029638746646,0.008033291714336989,0.15834117621947605,0.11620346215777826,0.016501330031400373,-0.00045228042730769655,0.10487029036572001,0.04418673239968255,0.13648493596349198,0.3377267204132196,0.20168564253053112,,,,,-0.00446449864847434,0.015379204676485708,0.019125838138419646,-0.0018987582270124496,-0.0007441789778947434,-0.0009177617079209685,,,,0.042680994553847655,0.20274738265835252
Number of Created Contracts,-0.011413691770228095,-0.006626134052981896,-0.008943421265110909,-0.005307309508645258,0.3206018075392928,-0.004224178104514731,1.0,-0.0024084524980416662,0.08441762173292325,-0.0018288815628255347,-0.0008427933820498718,-0.0005727005954709028,-0.0009521007756655578,0.14183486584317034,-0.001468379610458573,-0.0002922351118140169,-0.00025951058789914816,-0.00030876068420831066,0.281574174658125,0.024813695444409912,-0.0008267401502404952,-0.0002595110752545194,-0.03791717338632795,0.24950006056705765,0.002071703524830613,0.0011662525391412449,-0.00037429045909088705,0.1547883406150722,0.19064598718654915,-0.0010826216403045437,0.02898551834922387,,,,,-0.0007876290171054361,0.0009202945070491333,0.002051742233676691,-9.203288388440603e-05,0.0001489188678734606,-6.97727513814169e-05,,,,0.006032628343958617,0.030088991403375058
Unique Received From Addresses,-0.02115115534609552,-0.01733648306333813,-0.031231940322277583,0.03311096073848787,0.1290778413246159,0.6484776467878964,-0.0024084524980416662,1.0,0.15922624848108677,-0.013997299977639543,0.17564273835793812,-0.0015760604445683663,0.2962044163813614,0.05773352350524479,0.22658822168494583,0.05386469833850518,0.023152231806714538,0.03723059334159477,0.5233789970671466,0.02867422700063177,0.12470840440459618,0.023152351011536582,0.14496450091598573,0.057717979373700136,0.002741811638917987,5.89101754024935e-05,0.11667229584344913,0.04519999484018635,0.08302565820609327,0.24149445546915305,0.1477412110809096,,,,,-0.0019987929505977213,0.0016030253526588246,0.0035920276605272763,-0.0010439987023374332,-0.00026065475522979914,-0.0005462201567280656,,,,0.04067365919016828,0.1488510960060005
Unique Sent To Addresses,-0.03566737905538594,-0.019345177409804775,-0.02753485495686614,0.06743674570152189,0.6696808887866911,0.16305985092823408,0.08441762173292325,0.15922624848108677,1.0,0.07005401555154152,0.14791167349467851,0.20725358238059208,-0.0033216213538066405,0.1962791149982357,0.020815368773087015,0.02307498834179331,0.0108009252499809,0.016653062704849852,0.4976926369295488,0.1643629875004181,0.08613917441653336,0.010800975265174305,-0.11352784681192366,0.14807098435357105,0.005709181104238472,4.228021487164569e-06,-0.0018478192397258179,0.12178868984808863,0.1769884546373076,-0.005344750441027088,0.2373506859959246,,,,,-0.0023325632623728064,0.003598439028599892,0.005245682394166455,-0.0009674698315933764,-0.0004394953992442591,-0.0008273274867279416,,,,0.08489652788592521,0.23752025795111892
min value received,-0.002193246079392561,-0.020183368631948282,-0.04849585890686655,-0.09476978830329562,0.022714511988970135,-0.02500881292647011,-0.0018288815628255347,-0.013997299977639543,0.07005401555154152,1.0,0.026024276573373313,0.12142613877139152,0.11904114075940862,0.0135730969471437,0.2570023760231467,-0.0019879391758424606,-0.002201509604118512,-0.0024481598468651584,-0.004863547278901868,-0.002117719178095021,-0.002283927634966381,-0.0022015124002167635,-0.00030103947396594,-0.007647695669996584,-0.0017269849320485787,-0.0016271651356458872,-0.002546176425762307,-0.006072254017477742,-0.005189518099109654,-0.007364723389580625,-0.0032162795144343166,,,,,-0.0011535400029919576,-0.0016700771736015364,-0.002851548770874719,-0.0014975124719444686,-0.0015287884436379915,-0.0014773750274222177,,,,-0.02880990299569027,-0.002695137501573067
